,price,area,latitude,longitude,bedrooms,bathrooms,balcony,status,neworold,parking,furnished_status,lift,type_of_building
0,22400000.000000004,629.0,19.0327996,72.89635679999999,2,2,0,Under Construction,New Property,0,0,0,Flat
1,35000000.0,974.0,19.0327996,72.89635679999999,3,2,0,Under Construction,New Property,0,0,0,Flat
2,31700000.0,968.0,19.0856,72.909277,3,3,0,Under Construction,New Property,0,0,0,Flat
3,18700000.0,629.0,19.155756,72.846862,2,2,2,Ready to Move,New Property,2,0,2,Flat
4,13500000.0,1090.0,19.177555,72.849887,2,2,0,0,New Property,0,Unfurnished,0,Flat
5,13000000.0,630.0,19.148058,72.937725,2,2,0,0,New Property,0,Unfurnished,0,Flat
6,20700000.0,1188.0,19.1549192106419,72.84356576222049,2,2,2,0,New Property,2,Semi-Furnished,2,Flat
7,22900000.0,968.0,19.147269,72.848351,3,3,0,0,New Property,0,Unfurnished,0,Flat
8,17000000.0,820.0,19.0151285,72.8580644,2,2,0,0,New Property,0,Unfurnished,0,Flat
9,81000000.0,3260.0,19.001640226154105,72.826532,3,3,3,Ready to Move,Resale,3,0,3,Flat
10,46000000.0,2500.0,19.157602,72.945243,4,4,2,0,New Property,2,Unfurnished,2,Flat
11,34000000.0,1085.0,19.1595755,72.9465747,3,3,1,0,New Property,1,Unfurnished,1,Flat
12,65000000.0,1500.0,19.116129,72.82195899999999,2,2,0,Ready to Move,Resale,0,0,0,Flat
13,20300000.0,891.0,18.9249211,72.82972240000001,3,3,1,0,New Property,1,Unfurnished,1,Flat
14,25000000.0,800.0,19.07907,72.907976,2,2,1,Ready to Move,Resale,1,0,1,Flat
15,21000000.0,1020.0,19.133092,72.93475,3,3,0,0,New Property,0,Unfurnished,0,Flat
16,102000000.0,3180.0,19.05749,72.850961,4,4,1,Ready to Move,New Property,1,Unfurnished,1,Flat
17,22500000.0,1000.0,19.233531951904297,72.83919525146484,3,3,1,Ready to Move,Resale,1,Semi-Furnished,1,Flat
18,19000000.0,1058.0,19.176718,72.944581,2,2,0,Ready to Move,New Property,0,0,0,Flat
19,15500000.0,875.0,19.1746739,72.94310379999999,2,2,1,Ready to Move,Resale,1,Furnished,1,Flat
20,25000000.0,1500.0,19.1040673,72.91767840000001,3,3,0,Ready to Move,Resale,0,0,0,Flat
21,22500000.0,1600.0,19.1746739,72.94310379999999,3,3,1,0,New Property,1,Semi-Furnished,1,Flat
22,55000000.0,2430.0,19.1547839,72.8540607,4,4,4,Ready to Move,Resale,4,Semi-Furnished,4,Flat
23,15000000.0,688.0,19.170591,72.937278,2,2,2,0,New Property,2,Unfurnished,2,Flat
24,23900000.0,950.0,19.13735580444336,72.83695220947266,2,2,0,Ready to Move,Resale,0,Furnished,0,Flat
25,25000000.0,900.0,19.12842,72.81988,2,2,1,Ready to Move,Resale,1,Furnished,1,Flat
26,69000000.0,2135.0,19.004138,72.82701329999999,4,5,0,Ready to Move,Resale,0,0,0,Flat
